job_id,cv_id,score,skill_jaccard,skill_coverage,skill_precision,skill_overlap_count,job_skills_count,cv_skills_count,experience_gap,experience_ratio,experience_match,job_experience_required,cv_experience_years,education_gap,education_match,job_education_level,cv_education_level,seniority_match_score
0,2063,29.8,0.15384615384615385,0.2,0.4,2,10,5,-7.0,0.125,0,8.0,1.0,0,1,3,3,0.125
0,697,22.55,0.25,0.3,0.6,3,10,5,-7.0,0.125,0,8.0,1.0,-2,0,3,1,0.125
0,1269,21.78,0.1,0.1,1.0,1,10,1,-6.0,0.25,0,8.0,2.0,1,1,3,4,0.25
0,2246,21.99,0.21428571428571427,0.3,0.42857142857142855,3,10,7,-6.0,0.25,0,8.0,2.0,-2,0,3,1,0.25
0,1029,33.98,0.21428571428571427,0.3,0.42857142857142855,3,10,7,-6.0,0.25,0,8.0,2.0,1,1,3,4,0.25
0,962,28.04,0.16666666666666666,0.2,0.5,2,10,4,-7.0,0.125,0,8.0,1.0,0,1,3,3,0.125
0,420,27.15,0.18181818181818182,0.2,0.6666666666666666,2,10,3,-6.0,0.25,0,8.0,2.0,1,1,3,4,0.25
0,948,33.27,0.18181818181818182,0.2,0.6666666666666666,2,10,3,-6.0,0.25,0,8.0,2.0,1,1,3,4,0.25
0,106,28.34,0.2,0.2,1.0,2,10,2,-6.0,0.25,0,8.0,2.0,1,1,3,4,0.25
0,2123,29.43,0.2,0.2,1.0,2,10,2,-8.0,0.0,0,8.0,0.0,0,1,3,3,0.0
0,818,29.43,0.15384615384615385,0.2,0.4,2,10,5,-6.0,0.25,0,8.0,2.0,1,1,3,4,0.25
0,1722,28.86,0.15384615384615385,0.2,0.4,2,10,5,-6.0,0.25,0,8.0,2.0,1,1,3,4,0.25
0,1350,25.58,0.058823529411764705,0.1,0.125,1,10,8,-6.0,0.25,0,8.0,2.0,0,1,3,3,0.25
0,550,24.44,0.07142857142857142,0.1,0.2,1,10,5,-6.0,0.25,0,8.0,2.0,1,1,3,4,0.25
0,2168,30.61,0.15384615384615385,0.2,0.4,2,10,5,-6.0,0.25,0,8.0,2.0,1,1,3,4,0.25
0,1002,31.37,0.16666666666666666,0.2,0.5,2,10,4,-7.0,0.125,0,8.0,1.0,0,1,3,3,0.125
0,2097,32.95,0.125,0.2,0.25,2,10,8,-5.0,0.375,0,8.0,3.0,1,1,3,4,0.375
0,1684,23.06,0.07692307692307693,0.1,0.25,1,10,4,-6.0,0.25,0,8.0,2.0,1,1,3,4,0.25
0,2171,26.35,0.13333333333333333,0.2,0.2857142857142857,2,10,7,-6.0,0.25,0,8.0,2.0,0,1,3,3,0.25
0,1650,26.35,0.07692307692307693,0.1,0.25,1,10,4,-6.0,0.25,0,8.0,2.0,1,1,3,4,0.25
0,1519,15.24,0.15384615384615385,0.2,0.4,2,10,5,-7.0,0.125,0,8.0,1.0,-2,0,3,1,0.125
0,2346,15.49,0.16666666666666666,0.2,0.5,2,10,4,-7.0,0.125,0,8.0,1.0,-2,0,3,1,0.125
0,140,20.19,0.1,0.1,1.0,1,10,1,-8.0,0.0,0,8.0,0.0,0,1,3,3,0.0
0,141,20.73,0.08333333333333333,0.1,0.3333333333333333,1,10,3,-7.0,0.125,0,8.0,1.0,0,1,3,3,0.125
0,2344,33.39,0.2727272727272727,0.3,0.75,3,10,4,-7.0,0.125,0,8.0,1.0,0,1,3,3,0.125
0,891,51.0,0.16666666666666666,0.2,0.5,2,10,4,2.0,1.25,1,8.0,10.0,1,1,3,4,1.0
0,495,23.89,0.09090909090909091,0.1,0.5,1,10,2,-8.0,0.0,0,8.0,0.0,0,1,3,3,0.0
